model,train_grid,test_grid,unseen,seed,regime,num_layers,hidden,learning_rate,nrmse,mse,mae,nrmse_P,nrmse_Q,nrmse_V,nrmse_theta,mse_P,mse_Q,mse_V,mse_theta,mae_P,mae_Q,mae_V,mae_theta
transformer,UK,IEEE24,True,700,B,2,128,0.001,0.1495636254549026,13128.2177734375,20.706897735595703,0.0893829092383384,0.1503757685422897,13.485491752624512,0.2151299118995666,37741.78515625,14359.6904296875,3.996450185775757,407.3968505859375,19.91865539550781,45.07978439331055,1.1483616828918457,16.6807918548584
transformer,UK,IEEE39,True,700,B,2,128,0.001,0.1366167068481445,30309.669921875,46.13184356689453,0.069715179502964,0.1360007524490356,9.35499095916748,0.4103631377220154,41940.3125,76782.6171875,6.755653381347656,2509.002197265625,30.90507125854492,107.43709564208984,1.5267690420150757,44.65841674804688
transformer,UK,IEEE118,True,700,B,2,128,0.001,0.1024819165468216,60344.12109375,48.62330627441406,0.0695533454418182,0.0666491761803627,3.62022876739502,0.5464968681335449,186052.0625,45672.25,0.7935013175010681,9651.431640625,39.29288482666016,62.04011535644531,0.6258039474487305,92.53440856933594
transformer,UK,UK,False,700,B,2,128,0.001,0.0079203331843018,16992.263671875,25.01499938964844,0.0017303492641076,0.0146761927753686,44.67540740966797,0.1022125855088234,7158.056640625,60449.6328125,3.1556668281555176,358.21160888671875,9.030556678771973,76.92630767822266,0.526050865650177,13.577078819274902
transformer,UK,IEEE24,True,1000,B,2,128,0.001,0.1540851145982742,13933.98046875,23.2119140625,0.1020078137516975,0.0987681373953819,5.095636367797852,0.2089115679264068,49156.4296875,6194.74072265625,0.5706077814102173,384.1855773925781,43.33421325683594,33.51902389526367,0.4672008156776428,15.527219772338867
transformer,UK,IEEE39,True,1000,B,2,128,0.001,0.1361930668354034,30121.984375,38.816184997558594,0.0904391631484031,0.1068725064396858,4.005080223083496,0.4088643491268158,70581.359375,47414.62890625,1.2382348775863647,2490.708251953125,40.87666702270508,68.9383544921875,0.6798149347305298,44.7698860168457
transformer,UK,IEEE118,True,1000,B,2,128,0.001,0.1020279675722122,59810.7109375,48.55796432495117,0.0693781599402427,0.0657555609941482,3.1210920810699463,0.5470370650291443,185116.015625,44455.73828125,0.5897783637046814,9670.5224609375,39.185035705566406,61.8719482421875,0.5512517690658569,92.6236343383789
transformer,UK,UK,False,1000,B,2,128,0.001,0.0064183711074292,11158.7099609375,20.298194885253903,0.0015479859430342,0.011739507317543,19.23783302307129,0.0814116299152374,5728.77294921875,38678.23046875,0.5851488709449768,227.2499542236328,6.394117832183838,64.30661010742188,0.2264740467071533,10.265576362609863
arma_gnn,IEEE24,IEEE24,False,0,B,8,128,0.001,0.0043699201196432,11.20729637145996,0.7696670889854431,0.0011550892377272,0.0075124795548617,0.8929753303527832,0.0174149814993143,6.30295991897583,35.83900833129883,0.01752345636487,2.669697999954224,0.3112066686153412,1.848566055297852,0.0664576813578605,0.8524378538131714
arma_gnn,IEEE24,IEEE39,True,0,B,8,128,0.001,0.11377814412117,21022.837890625,38.34352493286133,0.0719222873449325,0.0935313925147056,9.844276428222656,0.4583554565906524,44637.9140625,36315.76171875,7.4808030128479,3130.17919921875,31.9805965423584,67.73600006103516,1.5641896724700928,52.09331893920898
